"STATION","DATE","ADPT","ASLP","ASTP","AWBT","AWND","CDSD","CLDD","DP01","DP05","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYNT","DYSD","DYSN","DYTS","DYXP","DYXT","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HN01","HN02","HN03","HN04","HN05","HN06","HN07","HN08","HN09","HN10","HN11","HN12","HN13","HN14","HN15","HTDD","HX01","HX02","HX03","HX04","HX05","HX06","HX07","HX08","HX09","HX10","HX11","HX12","HX13","HX14","HX15","LN01","LN02","LN03","LN04","LN05","LN06","LN07","LN08","LN09","LN10","LN11","LN12","LN13","LN14","LN15","LX01","LX02","LX03","LX04","LX05","LX06","LX07","LX08","LX09","LX10","LX11","LX12","LX13","LX14","LX15","MN01","MN02","MN03","MN04","MN05","MN06","MN07","MN08","MN09","MN10","MN11","MN12","MN13","MN14","MN15","MNPN","MX01","MX02","MX03","MX04","MX05","MX06","MX07","MX08","MX09","MX10","MX11","MX12","MX13","MX14","MX15","MXPN","PRCP","PSUN","RHAV","RHMN","RHMX","SNOW","TAVG","TIME","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USC00118740","1904-07",,,,,,"222.5","134.5","6",,"6","1","0","0","0","0","0","31","6",,,"19040702","19040731","19040731","2","19040706","19040718","5.0","0","0","32.3","33.3",,"5.0",,,,,,,,,,,,,,,,"5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69.1",,,,,"0","22.51",,"28.83","16.19",,,,,,,,,,,,
"USC00118740","1904-08",,,,,,"322.0","99.5","9",,"6","2","0","0","0","0","0","31","2",,,"19040827","19040831","19040831","4","19040822","19040821","7.8","0","0","31.0","32.8",,"13.4",,,,,,,,,,,,,,,,"8.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90.3",,,,,"0","21.27",,"28.16","14.39",,,,,,,,,,,,
"USC00118740","1904-09",,,,,,"373.4","51.4","6",,"4","1","0","0","0","0","0","26","0","3",,"19040915","19040930","19040930","2","19040918","19040928","5.0","0","0","34.5","31.7",,"46.4",,,,,,,,,,,,,,,,"33.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64.3",,,,,"0","18.95",,"25.26","12.63",,,,,,,,,,,,
"USC00118740","1904-10",,,,,,"376.7","3.3","3",,"2","0","0","0","0","6","0","10","0","2",,"19041028","19041031","19041031","1","19041008","19041009","-2.2","0","0","11.2","27.2",,"255.7",,,,,,,,,,,,,,,,"209.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.6",,,,,"0","11.69",,"18.67","4.71",,,,,,,,,,,,
"USC00118740","1904-11",,,,,,"376.7","0.0","0",,"0","0","0","0","0","19","1","0","0","2",,"19041130","19041130","19041130",,"19041109","19041119","-10.0","0","0","0.0","20.6",,"636.7",,,,,,,,,,,,,,,,"381.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0",,,,,"0","5.63",,"12.43","-1.17",,,,,,,,,,,,
"USC00118740","1904-12",,,,,,"376.7","0.0","8",,"3","0","21","3","0","29","12","0","0","1",,"19041228","19041231","19041217",,"19041217","19041227","-16.7","178","102","8.1","12.8",,"1279.2",,,,,,,,,,,,,,,,"642.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.0",,,,,"191","-2.39",,"2.71","-7.50",,,,,,,,,,,,
"USC00118740","1905-01",,,,,,"0.0","0.0","8",,"2","1",,"5","6","30","22","0","0",,,"19050110",,"19050102",,"19050112","19050101","-23.9",,"51","33.0","14.4",,"2068.4",,,,,,,,,,,,,,,,"789.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.8",,,,,"164","-7.13",,"-2.02","-12.24",,,,,,,,,,,,
"USC00118740","1905-02",,,,,,"0.0","0.0","7",,"6","0","24","6","13","28","18","0","0","1",,"19050213","19050228","19050226",,"19050226","19050228","-31.7","457","165","22.1","9.4",,"2818.7",,,,,,,,,,,,,,,,"750.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.6",,,,,"470","-8.46",,"-3.04","-13.89",,,,,,,,,,,,
"USC00118740","1905-03",,,,,,"0.3","0.3","5",,"3","0",,"0","0","16","0","5","0","1",,"19050311",,"19050331",,"19050323","19050328","-6.7",,"0","8.1","25.0",,"3179.8",,,,,,,,,,,,,,,,"361.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.1",,,,,"0","6.69",,"12.65","0.74",,,,,,,,,,,,
"USC00118740","1905-04",,,,,,"0.6","0.3","9",,"4","1","0","0","0","11","0","5","0",,,"19050416","19050430","19050405","1","19050420","19050409","-3.3","0","10","35.1","28.3",,"3421.2",,,,,,,,,,,,,,,,"241.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75.0",,,,,"10","10.30",,"16.53","4.06",,,,,,,,,,,,
