year,temp_avg_f,temp_max_f,temp_min_f,temp_extreme_max_f,temp_extreme_min_f,precip_total_mm,precip_max_daily_mm,days_max_gte_90f,days_min_lte_32f,gdd_base50,temp_range_f,months_available,complete_season,data_quality_score
1932,67.51100000000001,78.503,56.519000000000005,98.06,28.04,377.1,38.6,19.0,7.0,3151.979999999999,21.983999999999995,6,True,100
1933,69.365,80.222,58.499,100.03999999999999,30.92,521.5,66.3,46.0,3.0,3484.8900000000003,21.722999999999992,6,True,100
1934,69.479,80.69,58.268,104.0,28.94,529.7,64.8,49.0,5.0,3506.22,22.421999999999997,6,True,100
1935,65.20100000000001,74.738,55.667,96.08000000000001,28.94,605.9,43.2,19.0,6.0,2736.4500000000003,19.070999999999998,6,True,100
1936,69.494,81.008,57.971,107.96000000000001,19.939999999999998,460.8,46.0,56.0,12.0,3508.1099999999988,23.037,6,True,100
1937,66.63199999999999,76.913,56.345,95.0,28.94,558.1999999999999,78.5,23.0,5.0,2993.2199999999984,20.567999999999998,6,True,100
1938,67.535,77.477,57.586999999999996,96.08000000000001,26.060000000000002,652.3,61.2,16.0,7.0,3155.7599999999993,19.890000000000008,6,True,100
1939,67.646,78.431,56.861,98.96000000000001,21.02,538.2,90.2,21.0,8.0,3176.28,21.57,6,True,100
1940,66.215,77.23100000000001,55.205000000000005,98.96000000000001,21.92,451.5,36.3,31.0,7.0,2919.2400000000007,22.026000000000003,6,True,100
1941,69.005,79.77499999999999,58.232,98.96000000000001,33.98,664.3,48.3,31.0,0.0,3420.6300000000006,21.542999999999992,6,True,100
1942,67.253,77.552,56.957,93.91999999999999,28.94,564.9,56.4,17.0,4.0,3105.8100000000013,20.595000000000006,6,True,100
1943,66.92,77.708,56.135,96.08000000000001,23.0,624.7,88.4,37.0,11.0,3045.869999999999,21.573,6,True,100
1944,68.255,79.079,57.431000000000004,98.06,23.0,717.3,78.0,42.0,6.0,3285.899999999999,21.64799999999999,6,True,100
1945,65.108,75.101,55.115,96.08000000000001,30.02,823.8,53.3,13.0,3.0,2719.4400000000005,19.985999999999997,6,True,100
1946,66.065,77.159,54.971000000000004,98.96000000000001,26.96,510.2,51.1,13.0,2.0,2891.7,22.188000000000002,6,True,100
1947,66.69500000000001,77.17999999999999,56.206999999999994,98.96000000000001,30.02,633.1,42.4,32.0,3.0,3004.83,20.973,6,True,100
1948,67.91,79.16,56.651,96.08000000000001,30.02,626.2,38.6,24.0,3.0,3222.9900000000007,22.508999999999993,6,True,100
1949,67.868,78.632,57.107,96.98,26.96,514.0,36.6,25.0,5.0,3216.51,21.525000000000006,6,True,100
1950,64.988,75.008,54.965,91.03999999999999,21.02,552.9,82.3,5.0,8.0,2697.570000000001,20.042999999999992,6,True,100
1951,64.997,74.903,55.091,95.0,28.94,534.8,59.7,8.0,7.0,2699.46,19.812000000000005,6,True,100
1952,68.219,79.45700000000001,56.984,98.96000000000001,28.94,535.1,37.8,42.0,4.0,3279.69,22.473000000000006,6,True,100
1953,68.21,80.282,56.141,102.91999999999999,26.060000000000002,293.1,23.9,49.0,6.0,3278.07,24.141,6,True,100
1954,69.506,81.33200000000001,57.68,109.03999999999999,21.92,452.0,28.4,55.0,5.0,3511.08,23.652000000000008,6,True,100
1955,69.587,80.573,58.59799999999999,98.06,30.02,499.4,61.2,43.0,1.0,3525.3899999999994,21.975,6,True,100
1956,66.377,77.564,55.187000000000005,98.06,28.04,458.3,32.3,23.0,7.0,2947.5900000000006,22.37699999999999,6,True,100
1957,66.917,76.82600000000001,57.011,93.91999999999999,23.0,651.8,70.1,19.0,7.0,3045.3300000000017,19.815000000000005,6,True,100
1958,65.89999999999999,76.283,55.52,95.0,32.0,697.4,77.5,7.0,1.0,2862.2699999999995,20.762999999999998,6,True,100
1959,69.218,80.20100000000001,58.23500000000001,96.98,28.04,457.5,63.0,43.0,3.0,3459.2400000000007,21.966,6,True,100
1960,67.247,77.654,56.842999999999996,96.98,26.060000000000002,522.5,49.0,17.0,4.0,3104.7299999999987,20.811,6,True,100
1961,65.52499999999999,76.265,54.782000000000004,93.91999999999999,21.02,651.3,57.4,27.0,9.0,2794.2299999999996,21.482999999999997,6,True,100
1962,67.094,77.741,56.441,95.0,26.96,608.1,71.1,11.0,8.0,3076.3800000000015,21.299999999999997,6,True,100
1963,66.881,78.476,55.28,96.08000000000001,28.94,344.4,38.6,20.0,3.0,3038.04,23.195999999999998,6,True,100
1964,68.279,79.289,57.26,100.94,26.060000000000002,571.5,78.5,32.0,5.0,3289.4100000000008,22.029000000000003,6,True,100
1965,67.241,77.399,57.083,93.91999999999999,30.02,769.0,64.0,10.0,2.0,3103.38,20.316000000000003,6,True,100
1966,65.474,76.217,54.725,100.94,28.94,540.1,76.7,29.0,7.0,2784.7800000000007,21.491999999999997,6,True,100
1967,64.901,75.653,54.149,93.91999999999999,30.92,362.3,35.8,11.0,2.0,2682.180000000002,21.504000000000005,6,True,100
1968,66.467,76.607,56.327,93.02,30.02,676.5,67.1,20.0,3.0,2964.06,20.28,6,True,100
1969,67.43299999999999,78.098,56.770999999999994,95.0,33.08,547.5,74.2,19.0,0.0,3138.21,21.327000000000005,6,True,100
1970,67.889,78.383,57.395,100.03999999999999,30.02,695.5,62.2,20.0,5.0,3220.019999999999,20.987999999999992,6,True,100
1971,67.181,78.242,56.123,96.08000000000001,28.04,582.3,80.5,27.0,6.0,3092.850000000001,22.119000000000007,6,True,100
1972,66.617,77.078,56.156,93.02,19.939999999999998,676.7,47.0,18.0,6.0,2991.060000000001,20.922000000000004,6,True,100
1973,67.256,76.877,57.632,93.02,26.060000000000002,779.5,75.7,15.0,4.0,3105.8099999999986,19.244999999999997,6,True,100
1974,65.204,74.85199999999999,55.547,96.98,28.04,652.6,68.8,14.0,4.0,2735.91,19.304999999999993,6,True,100
1975,66.077,76.229,55.919000000000004,93.91999999999999,21.92,697.4,73.4,17.0,10.0,2893.3199999999997,20.309999999999995,6,True,100
1976,65.729,77.153,54.293,98.06,26.96,533.4,50.3,13.0,5.0,2830.14,22.860000000000007,6,True,100
1977,69.119,79.949,58.28,96.08000000000001,28.04,622.5,55.1,25.0,4.0,3440.6099999999988,21.668999999999997,6,True,100
1978,66.911,77.09,56.729000000000006,93.02,32.0,561.1,49.5,19.0,1.0,3043.7100000000014,20.360999999999997,6,True,100
1979,65.75,76.49900000000001,54.998,91.94,21.02,584.6,87.9,15.0,6.0,2834.7300000000014,21.501000000000012,6,True,100
1980,67.64,78.71,56.567,100.03999999999999,30.92,501.4,39.4,33.0,3.0,3174.929999999999,22.142999999999994,6,True,100
1981,66.32600000000001,76.091,56.555,95.0,30.92,911.3,65.3,7.0,1.0,2938.139999999999,19.535999999999994,6,True,100
1982,65.573,75.71900000000001,55.433,93.02,15.979999999999997,551.7,71.1,5.0,10.0,2803.680000000001,20.28600000000001,6,True,100
1983,67.499,77.80399999999999,57.199999999999996,98.96000000000001,24.98,711.5,98.8,45.0,5.0,3150.359999999999,20.603999999999992,6,True,100
1984,65.93599999999999,76.466,55.412,95.0,30.92,554.3,42.7,24.0,1.0,2869.0199999999986,21.053999999999995,6,True,100
1985,66.905,77.732,56.072,93.02,26.060000000000002,544.1,59.2,8.0,5.0,3042.36,21.659999999999997,6,True,100
1986,67.76299999999999,79.82600000000001,55.709,95.0,24.98,601.7,70.4,21.0,5.0,3198.1500000000024,24.117000000000004,6,True,100
1987,68.627,80.294,56.951,100.03999999999999,21.02,670.3,112.5,29.0,5.0,3352.05,23.342999999999996,6,True,100
1988,68.741,82.232,55.244,102.91999999999999,28.94,295.5,53.8,56.0,3.0,3372.84,26.988,6,True,100
1989,65.54,76.10600000000001,54.977000000000004,95.0,23.0,686.6,58.9,15.0,10.0,2797.4700000000025,21.129000000000005,6,True,100
1990,65.60000000000001,76.265,54.929,96.98,21.02,678.3,71.1,19.0,9.0,2807.4600000000014,21.336,6,True,100
1991,69.851,81.413,58.286,100.03999999999999,32.0,497.8,52.1,46.0,2.0,3572.910000000001,23.126999999999995,6,True,100
1992,64.352,75.143,53.57,95.0,26.060000000000002,716.6,80.0,3.0,6.0,2584.1699999999996,21.573,6,True,100
1993,65.705,75.47000000000001,55.946,93.91999999999999,24.08,985.1,135.1,11.0,6.0,2827.4399999999996,19.524000000000015,6,True,100
1994,65.94500000000001,77.183,54.704,96.08000000000001,15.979999999999997,544.2,75.2,22.0,6.0,2869.83,22.479000000000006,6,True,100
1995,66.98299999999999,77.741,56.218999999999994,100.03999999999999,19.939999999999998,596.8,75.7,32.0,6.0,3056.3999999999983,21.522000000000006,6,True,100
1996,64.979,75.626,54.338,95.0,24.08,651.9,60.7,16.0,14.0,2696.7599999999998,21.288000000000004,6,True,100
